Artista,Canción,Popularidad
J Balvin,Ay Vamos,4
KAROL G,Ahora Me Llama,1
J Balvin,Sigo Extrañándote,2
KAROL G,A Ella,2
J Balvin,Safari,1
Sebastian Yatra,Alguien Robo,2
Sebastian Yatra,Devuélveme El Corazón,3
Sebastian Yatra,Traicionera,3
J Balvin,Ahora,3
KAROL G,Mi Cama,4
J Balvin,No Es Justo,4
Kevin Roldan,PPP,4
J Balvin,Morado,6
Kevin Roldan,Manantial,2
KAROL G,BICHOTA,6
Cali Y El Dandee,Yo Te Esperaré,2
Sebastian Yatra,Ya No Tiene Novio,2
Cali Y El Dandee,Por Fin Te Encontré,2
Lalo Ebratt,Mocca,3
Sebastian Yatra,Runaway,3
Cali Y El Dandee,Lumbra,1
Sebastian Yatra,Chica Ideal,6
Feid,BORRAXXA,5
Feid,PORFA,2
Feid,911,2
J Balvin,Morado,3
J Balvin,Azul,3
KAROL G,"Ay, DiOs Mío!",2
Kevin Roldan,Delicioso EQSEP,3
KAROL G,Culpables,1
Feid,FRESH KERIAS,3
Kevin Roldan,Manantial,2
J Balvin,LA CANCIÓN,5
Kevin Roldan,PPP,2
KAROL G,BICHOTA,3
J Balvin,No Es Justo,2
J Balvin,Ahora,2
J Balvin,Negro,7
Sebastian Yatra,Traicionera,3
Feid,badwine - Remix,1
Sebastian Yatra,Chica Ideal,4
Yera,Fantasma,2
Sebastian Yatra,Runaway,2
Yera,No Copia,5
Feid,FRESH KERIAS,2
Feid,PORFA,2
Feid,BORRAXXA,3
Feid,Perfecta,1
Feid,911,1
Lalo Ebratt,Mocca,2
